"VBlock3","Taking Them With Us (V)","images/LS/admirals_order.gif","Each player may, once per battle at a system, lose 1 Force to target two participating unique (�) piloted starships with immunity to attrition (one from each player); both starships lose all immunity to attrition this turn. When deploying to capital starships, your Mon Calamari pilots are deploy = 1.","R","images/starwars/Virtual3-Light/large/takingthemwithus.gif","/img/Virtual3-Light/takingthemwithus.gif"
"VBlock3","Admiral Ackbar (V)","images/LS/rebel.gif","Adds 3 to power of anything he pilots. It's a Trap! is destiny +2. Adds one battle destiny while piloting a Mon Calamari Star Cruiser. Once per game, may deploy a capital starship to a system (even as a 'react') from Reserve Deck; reshuffle.","XR","images/starwars/Virtual3-Light/large/admiralackbar.gif","/img/Virtual3-Light/admiralackbar.gif"
"VBlock3","Attark (V)","images/LS/alien.gif","During your control phase, if No Love For The Empire on table, may retrieve a non-unique alien of a different species than your Rep.","R","images/starwars/Virtual3-Light/large/attark.gif","/img/Virtual3-Light/attark.gif"
"VBlock3","Aved Luun (V)","images/LS/alien.gif","Deploys only on Tatooine. Adds one battle destiny with Kalit. Your Jawas and sandcrawlers are destiny +2. May deploy Jawa Camp, Sergeant Doallyn, or Thedit on table from Reserve Deck; reshuffle.","R","images/starwars/Virtual3-Light/large/avedluun.gif","/img/Virtual3-Light/avedluun.gif"
"VBlock3","BG-J38 (V)","images/LS/droid.gif","Your dejariks are destiny +2. Grimtaash is immune to Sense. Once per turn, may take Grimtaash into hand from Reserve Deck; reshuffle.","R","images/starwars/Virtual3-Light/large/bgj38.gif","/img/Virtual3-Light/bgj38.gif"
"VBlock3","Chief Chirpa (V)","images/LS/alien.gif","Deploys only on Endor. Ewoks on Endor are power +1. 'Vehicle with armor' on Ewok Catapult may be treated as 'non-Dark Jedi character' ('crashes' is then treated as 'lost'). May not be targeted by weapons.(Errata Text - September 9th, 2009)","R","images/starwars/Virtual3-Light/large/chiefchirpa.gif","/img/Virtual3-Light/chiefchirpa.gif"
"VBlock3","General Solo (V)","images/LS/rebel.gif","Adds 3 to power of anything he pilots. During battle, may use 1 Force to play an Interrupt from your Reserve Deck (then place that card out of play). Once per turn, may take a non-Interrupt card with 'door' in game text into hand from Reserve Deck; reshuffle.","R","images/starwars/Virtual3-Light/large/generalsolo.gif","/img/Virtual3-Light/generalsolo.gif"
"VBlock3","General Walex Blissex (V)","images/LS/rebel.gif","Adds 1 to power of anything he pilots. While piloting a capital starship at a battleground system, in each battle a player's first battle destiny draw may not be canceled or reduced and if opponent canceled a just drawn battle destiny, they lose 1 Force.","U","images/starwars/Virtual3-Light/large/generalwalexblissex.gif","/img/Virtual3-Light/generalwalexblissex.gif"
"VBlock3","Han (V)","images/LS/alien.gif","","PM","images/starwars/Virtual3-Light/large/han.gif","/img/Virtual3-Light/han.gif"
"VBlock3","Kalit (V)","images/LS/alien.gif","Deploys only on Tatooine. Your other Jawas are power and forfeit +1. Your vehicle forfeited at same site satisfies all remaining battle damage against you. During your turn, may use 1 Force to take a card with 'Jawa' in game text into hand from Reserve Deck; reshuffle.","R","images/starwars/Virtual3-Light/large/kalit.gif","/img/Virtual3-Light/kalit.gif"
"VBlock3","Laudica (V)","images/LS/alien.gif","While Rayc Ryjerd or Tonnika Sisters on table, power +3. Whenever opponent Force drains at a non-battleground, you may retrieve 1 Force. During your deploy phase, may deploy an Effect with 'matching' in game text on table from Reserve Deck; reshuffle.","R","images/starwars/Virtual3-Light/large/laudica.gif","/img/Virtual3-Light/laudica.gif"
"VBlock3","Leslomy Tacema (V)","images/LS/alien.gif","Adds 3 to power of anything she pilots. While on Tatooine, your docking bay transit to and from Tatooine is free. Power +2 at Cantina, Mos Eisley, or a docking bay. During your deploy phase, may deploy one Bo Shuda, Ellorrs Madak, or Yerka Mig on table from Reserve Deck; reshuffle.","R","images/starwars/Virtual3-Light/large/leslomytacema.gif","/img/Virtual3-Light/leslomytacema.gif"
"VBlock3","Lieutenant Blount (V)","images/LS/rebel.gif","Adds 2 to power of anything he pilots. Double Agent is a Used Interrupt. Once per game: may take Double Agent into hand from Reserve Deck; reshuffle. OR if you just targeted with Double Agent, may add 2 to your total destiny. OR may target opponent's bounty hunter with Double Agent instead of their spy.","R","images/starwars/Virtual3-Light/large/lieutenantblount.gif","/img/Virtual3-Light/lieutenantblount.gif"
"VBlock3","Luke Skywalker, Rebel Scout (V)","images/LS/rebel.gif","","PM","images/starwars/Virtual3-Light/large/lukeskywalkerrebelscout.gif","/img/Virtual3-Light/lukeskywalkerrebelscout.gif"
"VBlock3","Master Luke (V)","images/LS/rebel.gif","","PM","images/starwars/Virtual3-Light/large/masterluke.gif","/img/Virtual3-Light/masterluke.gif"
"VBlock3","Orrimaarko (V)","images/LS/rebel.gif","","R","images/starwars/Virtual3-Light/large/orrimaarko.gif","/img/Virtual3-Light/orrimaarko.gif"
"VBlock3","Princess Leia Organa (V)","images/LS/rebel.gif","* Deploys free only as an escorted captive of Jabba or a bounty hunter. Your Strangle destiny draws are +1. 'Escort alone' on Strangle is treated as 'escort'. When released, escort is lost and you may retrieve any three cards (except Strangle).","R","images/starwars/Virtual3-Light/large/princessleiaorgana.gif","/img/Virtual3-Light/princessleiaorgana.gif"
"VBlock3","See-Threepio (V)","images/LS/droid.gif","Unless Jabba on table: you must first use 3 Force to play How Did We Get Into This Mess?; and, once per turn, if with R2-D2 at a Jabba's Palace site, may place your hand in Used Pile to draw the same number of cards from Reserve Deck.","PM","images/starwars/Virtual3-Light/large/seethreepio.gif","/img/Virtual3-Light/seethreepio.gif"
"VBlock3","Tamtel Skreej (V)","images/LS/alien.gif","Deploys only to a Tatooine site as an Undercover spy. Once during each control phase, if Undercover, may relocate your character at a related site to Lando's site (for free). Once per game, may deploy Vibro-Ax on Lando from Reserve Deck for free; reshuffle.","R","images/starwars/Virtual3-Light/large/tamtelskreej.gif","/img/Virtual3-Light/tamtelskreej.gif"
"VBlock3","Tanus Spijek (V)","images/LS/alien.gif","Once per game, when deployed to a site, opponent loses 1 Force for each Dark Side character present. Draws one battle destiny if unable to otherwise.","R","images/starwars/Virtual3-Light/large/tanusspijek.gif","/img/Virtual3-Light/tanusspijek.gif"
"VBlock3","Tawss Khaa (V)","images/LS/alien.gif","","R","images/starwars/Virtual3-Light/large/tawsskhaa.gif","/img/Virtual3-Light/tawsskhaa.gif"
"VBlock3","Wicket (V)","images/LS/alien.gif","Deploys only on Endor. Once per game, may use 3 Force to release a Rebel captive present on Endor. During your deploy phase, may use 1 Force to deploy an Ewok weapon or a unique (�) Ewok from Reserve Deck; reshuffle.","R","images/starwars/Virtual3-Light/large/wicket.gif","/img/Virtual3-Light/wicket.gif"
"VBlock3","Bargaining Table (V)","images/LS/effect.gif","Deploy on table.  Your unique (�) aliens are forfeit +1 (+2 if they have printed deploy costs greater than or equal to their printed forfeit).  During your deploy phase, may deploy one Attark, Crell, Loje, Momaw, Tzizvvt, or Vul from Reserve Deck; reshuffle. (Immune to Alter.)(Errata Text - September 9th, 2009)","U","images/starwars/Virtual3-Light/large/bargainingtable.gif","/img/Virtual3-Light/bargainingtable.gif"
